buses
4  56.0  
6  35.28 
8  35.28 
11 56.0  
14 35.28 
15 35.28 
16 35.28 
17 112.0 
18 56.0  
19 56.0  
20 35.28 
21 35.28 
22 35.28 
23 56.0  
24 35.28 
25 35.28 
26 56.0  
28 56.0  
30 35.28 
31 35.28 
33 14.0  
36 35.28 
37 56.0  
38 56.0  
39 56.0  
40 35.28 
42 35.28 
43 35.28 
44 35.28 
45 35.28
46 35.28
47 14.0
50 36.28
51 56.0
53 35.28
54 56.0
55 56.0
56 14.0
57 56.0
59 56.0
60 56.0
61 56.0
62 56.0
63 14.0
66 56.0
69 56.0
71 35.28
72 56.0
74 56.0
75 35.28
76 56.0
77 14.0
78 56.0
79 35.28
80 56.0
82 56.0
83 35.28
84 14.0
85 35.28

Power factor of the load cos \phi 0.70.
Reactive power load QL = PL‘ tan \phi

branches
Branch Sending- Receiving- R X
no. end end (ohm) (ohm)
 1  1  2 0.108 0.075
 2  2  3 0.163 0.112
 3  3  4 0.217 0.149
 4  4  5 0.108 0.074
 5  5  6 0.435 0.298
 6  6  7 0.272 0.186
 7  7  8 1.197 0.820
 8  8  9 0.108 0.074
 9  9 10 0.598 0.410
10 10 11 0.544 0.373
11 11 12 0.544 0.373
12 12 13 0.598 0.410
13 13 14 0.272 0.186
14 14 15 0.326 0.223
15  2 16 0.728 0.302
16  3 17 0.455 0.189
17  5 18 0.820 0.340
18 18 19 0.637 0.264
19 19 20 0.455 0.189
20 20 21 0.819 0.340
21 21 22 1.548 0.642
22 19 23 0.182 0.075
23  7 24 0.910 0.378
24  8 25 0.455 0.189
25 25 26 0.364 0.151
26 26 27 0.546 0.226
27 27 28 0.273 0.113
28 28 29 0.546 0.226
29 29 30 0.546 0.226
30 30 31 0.273 0.113
31 31 32 0.182 0.075
32 32 33 0.182 0.075
33 33 34 0.819 0.340
34 34 35 0.637 0.264
35 35 36 0.182 0.075
36 26 37 0.364 0.151
37 27 38 1.002 0.416
38 29 39 0.546 0.226
39 32 40 0.455 0.189
40 40 41 1.002 0.416
41 41 42 0.273 0.113
42 41 43 0.455 0.189
43 34 44 1.002 0.416
44 44 45 0.911 0.378
45 45 46 0.911 0.378
46 46 47 0.546 0.226
47 35 48 0.637 0.264
48 48 49 0.182 0.075
49 49 50 0.364 0.151
50 50 51 0.455 0.189
51 48 52 1.366 0.567
52 52 53 0.455 0.189
53 53 54 0.546 0.226
54 52 55 0.546 0.226
55 49 56 0.546 0.226
56  9 57 0.273 0.113
57 57 58 0.819 0.340
58 58 59 0.182 0.075
59 58 60 0.546 0.226
60 60 61 0.728 0.302
61 61 62 1.002 0.415
62 60 63 0.182 0.075
63 63 64 0.728 0.302
64 64 65 0.182 0.075
65 65 66 0.182 0.075
66 64 67 0.455 0.189
67 67 68 0.910 0.378
68 68 69 1.092 0.453
69 69 70 0.455 0.189
70 70 71 0.546 0.226
71 67 72 0.182 0.075
72 68 73 1.184 0.491
73 73 74 0.273 0.113
74 73 75 1.002 0.416
75 70 76 0.546 0.226
76 65 77 0.091 0.037
77 10 78 0.637 0.264
78 67 79 0.546 0.226
79 12 80 0.728 0.302
80 80 81 0.364 0.151
81 81 82 0.091 0.037
82 81 83 1.092 0.453
83 83 84 1.002 0.416
84 13 85 0.819 0.340
